,product_name,product_price,productDesc,product_img,product_buy
36,Nike,not mentioned ,Unisex LeBron Witness 8 EP,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-unisex-lebron-witness-8-ep/26727894/buy
37,Nike,not mentioned ,Men Jumpman MVP Shoes,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-jumpman-mvp-shoes/27306922/buy
38,Nike,not mentioned ,Men Jordan Stadium 90 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-jordan-stadium-90-running-shoes/27285694/buy
39,Nike,not mentioned ,Men Dunk Low Retro Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-dunk-low-retro-sneakers/27306882/buy
40,Nike,not mentioned ,Men Dunk High Retro Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-dunk-high-retro-se-sneakers/27306952/buy
41,Nike,not mentioned ,Men MC Trainer 2 Workout Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-mc-trainer-2-workout-shoes/26674230/buy
42,Nike,not mentioned ,Women Cortez SE Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-women-cortez-se-sneakers/27227242/buy
43,Nike,not mentioned ,Women Zoom Bella 6 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-zoom-bella-6-workout-shoes/27285672/buy
44,Nike,not mentioned ,Men Freak 5 Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-freak-5-ep-basketball-shoes/27306912/buy
45,Nike,not mentioned ,Men InfinityRN 4 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-nike-infinityrn-4-running-shoes/27285678/buy
46,Nike,not mentioned ,Women Dunk Low Shoes,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-women-dunk-low-shoes/27306862/buy
47,Nike,not mentioned ,Men Free Metcon 5 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-free-metcon-5-workout-shoes/26674232/buy
48,Nike,not mentioned ,Men Court Lite 4 Tennis Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-court-lite-4-tennis-shoes/27285696/buy
49,Nike,Rs. 11895,Men Zoom Pegasus 40 Run Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-zoom-pegasus-40-textured-running-sports-shoes/23315786/buy
